Year,Stakeholder.group,Value.type,Climate.scenario,Fishing.scenario,Nutrient.scenario,Cyano,Fucus,Phyto,FilAlgae,Neogobius,Cercopagis,Rhitro,Seals,Cormorant,Clupea,Sander,Perca,Overall.expected.utility,,,
Y 2050-2059,Cabin and sailing,Professional,RCP8.5,SQ,PLC55,-0.551684,0.0638455,0.148813,-0.225466,-0.0517401,-0.038968,-0.0555442,0.0513589,-0.185017,0.0547518,0.157903,0.224674,-0.407071,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP4.5,DEc,BSAP,-0.232955,0.782115,0.881411,-0.19746,-0.268239,-0.211495,-0.214136,1.00225,-0.483236,0.33715,0.529,0.665969,2.59037,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP4.5,DEc,PLC55,-0.232955,0.634185,0.85941,-0.376093,-0.234077,-0.266147,-0.260112,0.95102,-0.785316,0.383224,0.557997,0.690516,1.92165,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP4.5,Inc,BSAP,-0.232955,0.788508,0.950849,-0.205595,-0.278716,-0.289713,-0.22303,0.669493,-0.456793,0.23833,0.320435,0.379094,1.65991,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP4.5,Inc,PLC55,-0.232955,0.630507,0.924116,-0.380273,-0.219476,-0.293429,-0.254875,0.572622,-0.69232,0.24511,0.305859,0.381712,0.986598,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP4.5,Gil,BSAP,-0.232955,0.791196,0.862895,-0.206212,-0.271827,-0.229219,-0.230399,0.913055,-0.477818,0.29517,0.499844,0.549147,2.26288,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP4.5,Gil,PLC55,-0.232955,0.639729,0.893603,-0.361383,-0.232458,-0.270316,-0.256412,0.831766,-0.764085,0.331509,0.493862,0.582132,1.65499,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP4.5,SQ,BSAP,-0.232955,0.78377,0.899624,-0.202425,-0.263741,-0.231895,-0.230723,0.880101,-0.987939,0.289676,0.402472,0.49128,1.59724,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP4.5,SQ,PLC55,-0.232955,0.636658,0.900155,-0.372027,-0.231122,-0.27202,-0.264077,0.808334,-0.751737,0.330092,0.455788,0.573209,1.5803,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP8.5,DEc,BSAP,-1.21825,0.384828,1.00212,-0.584914,-0.290581,-0.210681,-0.332076,0.926933,-0.807431,0.320901,0.554279,0.803605,0.548726,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP8.5,DEc,PLC55,-1.63548,0.228987,0.827989,-0.77347,-0.35304,-0.260714,-0.383572,0.988616,-0.868526,0.386551,0.767695,1.01081,-0.0641509,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP8.5,Inc,BSAP,-1.21845,0.377951,1.01905,-0.59285,-0.311621,-0.26086,-0.336459,0.538071,-0.717635,0.200264,0.306987,0.575391,-0.420163,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP8.5,Inc,PLC55,-1.65014,0.228284,0.812399,-0.768149,-0.365175,-0.288728,-0.380873,0.674489,-0.785056,0.223165,0.52404,0.853354,-0.922392,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP8.5,Gil,BSAP,-1.23249,0.389092,0.992757,-0.579192,-0.314153,-0.227741,-0.335066,0.785212,-0.788085,0.27746,0.502008,0.728605,0.198404,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP8.5,Gil,PLC55,-1.64136,0.236739,0.813217,-0.779498,-0.349867,-0.267508,-0.379585,0.865855,-0.862934,0.335482,0.722457,0.965659,-0.341346,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP8.5,SQ,BSAP,-1.21932,0.385121,1.00234,-0.584604,-0.316421,-0.222456,-0.338791,0.782715,-0.770482,0.27973,0.45915,0.726708,0.183688,,,
Y 2050-2059,Recreational user or professional ,Recreation,RCP8.5,SQ,PLC55,-1.6374,0.2341,0.793106,-0.774028,-0.353557,-0.266281,-0.379552,0.893891,-0.831735,0.332021,0.682578,0.961107,-0.345755,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP4.5,DEc,BSAP,-0.0868056,0.19252,0.250308,-0.0649653,-0.0502948,-0.0396553,-0.0401506,0.070747,-0.15813,0.175787,0.178653,0.195713,0.623727,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP4.5,DEc,PLC55,-0.0868056,0.156107,0.24406,-0.123736,-0.0438895,-0.0499025,-0.0487711,0.0671307,-0.25698,0.199809,0.188446,0.202927,0.448396,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP4.5,Inc,BSAP,-0.0868056,0.194094,0.270027,-0.0676415,-0.0522592,-0.0543212,-0.0418181,0.0472583,-0.149477,0.124263,0.108217,0.111407,0.402944,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP4.5,Inc,PLC55,-0.0868056,0.155202,0.262436,-0.125111,-0.0411518,-0.055018,-0.0477891,0.0404204,-0.226549,0.127798,0.103294,0.112177,0.218903,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP4.5,Gil,BSAP,-0.0868056,0.194756,0.24505,-0.0678446,-0.0509676,-0.0429786,-0.0431997,0.0644509,-0.156357,0.153899,0.168807,0.161382,0.540191,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP4.5,Gil,PLC55,-0.0868056,0.157472,0.25377,-0.118897,-0.043586,-0.0506842,-0.0480773,0.0587129,-0.250032,0.172845,0.166787,0.171076,0.382581,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP4.5,SQ,BSAP,-0.0868056,0.192928,0.25548,-0.0665986,-0.0494513,-0.0434804,-0.0432606,0.0621247,-0.323285,0.151034,0.135923,0.144376,0.328984,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP4.5,SQ,PLC55,-0.0868056,0.156716,0.255631,-0.122398,-0.0433354,-0.0510037,-0.0495145,0.0570588,-0.245992,0.172107,0.153928,0.168453,0.364845,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP8.5,DEc,BSAP,-0.453955,0.094727,0.284587,-0.192439,-0.054484,-0.0395027,-0.0622643,0.0654305,-0.264217,0.167315,0.187191,0.236161,-0.0314515,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP8.5,DEc,PLC55,-0.609427,0.056366,0.235137,-0.254475,-0.066195,-0.0488839,-0.0719197,0.0697845,-0.284209,0.201544,0.259265,0.297055,-0.215957,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP8.5,Inc,BSAP,-0.45403,0.0930341,0.289395,-0.19505,-0.0584289,-0.0489113,-0.063086,0.0379815,-0.234833,0.104415,0.103676,0.169095,-0.256742,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP8.5,Inc,PLC55,-0.614891,0.0561929,0.23071,-0.252724,-0.0684702,-0.0541365,-0.0714136,0.047611,-0.256895,0.116356,0.176978,0.250782,-0.4399,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP8.5,Gil,BSAP,-0.459262,0.0957765,0.281929,-0.190556,-0.0589037,-0.0427014,-0.0628249,0.0554267,-0.257886,0.144665,0.169538,0.214121,-0.110679,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP8.5,Gil,PLC55,-0.611619,0.0582741,0.230942,-0.256458,-0.0656001,-0.0501578,-0.0711721,0.0611191,-0.282379,0.174917,0.243988,0.283785,-0.28436,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP8.5,SQ,BSAP,-0.454354,0.0947989,0.284651,-0.192337,-0.059329,-0.0417106,-0.0635232,0.0552504,-0.252126,0.145849,0.155064,0.213563,-0.114205,,,
Y 2050-2059,Recreational user or professional ,Professional,RCP8.5,SQ,PLC55,-0.610143,0.0576247,0.225231,-0.254658,-0.066292,-0.0499277,-0.0711661,0.0630981,-0.2090709,0.173112,0.23052,0.282448,-0.292324,,,
